model_id,model_name,architecture,organization,context_length,total_params_B,active_params_B,ttft_ms,tpot_tokps,peak_memory_GB,energy_per_1k_joules,tokens_per_watt,throughput_per_activeB_tokps_per_B,inv_ttft_per_activeB_tokps_per_B,tokens_per_watt_per_activeB,tokens_per_GB_tokps_per_GB
gpt-oss-20b,openai/gpt-oss-20b,MoE,Community/OSS,128,20.0,3.6,35.91156005859375,39.72482152071758,39.17829656600952,6672.62820069343,0.1498659853243552,11.034672644643774,7.735051814083044,0.04162944036787644,1.0139496865002093
gpt-oss-20b,openai/gpt-oss-20b,MoE,Community/OSS,512,20.0,3.6,101.22060775756836,38.25577234760864,39.760462284088135,7318.478127399087,0.1366404302359225,10.626603429891288,2.7442808725578716,0.03795567506553403,0.9621561257077823
gpt-oss-20b,openai/gpt-oss-20b,MoE,Community/OSS,1024,20.0,3.6,203.2928466796875,35.9487514389481,40.59499216079712,7976.017933647335,0.1253758464836741,9.985764288596695,1.3663922873560341,0.03482662402324281,0.8855464559903049
gpt-oss-20b,openai/gpt-oss-20b,MoE,Community/OSS,2048,20.0,3.6,475.80862045288086,31.11733977893926,42.46082925796509,9764.245805658398,0.1024144639435949,8.643705494149794,0.5838014820189371,0.028448462206554136,0.7328481408097337
qwen3-32b,Qwen/Qwen3-32B,Dense,Alibaba,128,32.0,32.0,46.08798027038574,26.56351009823279,61.1406626701355,10256.981018245966,0.0974945744972246,0.8301096905697747,0.6780509759087876,0.0030467054530382686,0.43446552487576956
qwen3-32b,Qwen/Qwen3-32B,Dense,Alibaba,512,32.0,32.0,111.59515380859376,25.9364207032488,61.358073711395264,12294.676158595086,0.0813360178910373,0.810513146976525,0.2800300813563957,0.0025417505590949155,0.4227059152026794
qwen3-32b,Qwen/Qwen3-32B,Dense,Alibaba,1024,32.0,32.0,193.1784152984619,25.01987971031359,61.61662817001343,12000.422213108091,0.0833304014010188,0.7818712409472997,0.16176755540580734,0.0026040750437818375,0.40605726819842203
qwen3-32b,Qwen/Qwen3-32B,Dense,Alibaba,2048,32.0,32.0,389.15085792541504,23.36620480475005,62.15802526473999,13155.138729241491,0.076015922034876,0.7301939001484391,0.08030304794031676,0.002375497563589875,0.3759161380244951
yi-34b,01-ai/Yi-34B,Dense,01.AI,128,34.0,34.0,45.26758193969727,32.112460471729946,64.14730215072632,10233.615105519444,0.0977171790895922,0.944484131521469,0.6497312965614758,0.002874034679105653,0.5006050043425926
yi-34b,01-ai/Yi-34B,Dense,01.AI,512,34.0,34.0,108.3066463470459,30.795467386975886,64.30651235580444,11460.721660092471,0.0872545403036977,0.9057490407934085,0.2715601091703877,0.002566310008932285,0.478885672054274
yi-34b,01-ai/Yi-34B,Dense,01.AI,1024,34.0,34.0,207.1704864501953,29.169463360913184,64.49431467056274,12097.994901537895,0.0826583254612613,0.8579253929680348,0.14196889339714452,0.002431127219448862,0.4522796080539957
yi-34b,01-ai/Yi-34B,Dense,01.AI,2048,34.0,34.0,402.2419452667236,26.3504427901475,64.90107583999634,13464.34705280289,0.074270218680365,0.7750130232396324,0.07311958648762908,0.0021844181964813234,0.40600933727370686
