model,model_type,prompt_tokens,gen_tokens,TTFT_ms,p50_ms,p95_ms,p99_ms,TPOT_tokps
Qwen/Qwen3-32B,chat_template,128,64,46.08798027038574,2409.3202352523804,2454.4174671173096,2454.4174671173096,26.56351009823279
Qwen/Qwen3-32B,chat_template,128,128,46.602487564086914,4804.934501647949,4816.609859466553,4816.609859466553,26.63928096902448
Qwen/Qwen3-32B,chat_template,128,256,47.223567962646484,9616.640210151672,9627.477407455444,9627.477407455444,26.620523873417948
Qwen/Qwen3-32B,chat_template,512,64,111.59515380859375,2467.572569847107,2488.2819652557373,2488.2819652557373,25.936420703248796
Qwen/Qwen3-32B,chat_template,512,128,111.31834983825684,4885.371685028076,4891.045808792114,4891.045808792114,26.20066908593419
Qwen/Qwen3-32B,chat_template,512,256,111.2356185913086,9678.039908409119,9702.761888504028,9702.761888504028,26.45163774573612
Qwen/Qwen3-32B,chat_template,1024,64,193.1784152984619,2557.9659938812256,2571.781873703003,2571.781873703003,25.01987971031359
Qwen/Qwen3-32B,chat_template,1024,128,192.66510009765625,4973.14465045929,4975.989818572998,4975.989818572998,25.738242062805195
Qwen/Qwen3-32B,chat_template,1024,256,192.1529769897461,9777.609586715698,9794.309139251709,9794.309139251709,26.18226858692437
Qwen/Qwen3-32B,chat_template,2048,64,389.15085792541504,2738.998532295227,2747.822046279907,2747.822046279907,23.36620480475005
Qwen/Qwen3-32B,chat_template,2048,128,386.90805435180664,5129.273891448975,5139.938116073608,5139.938116073608,24.954799367585043
Qwen/Qwen3-32B,chat_template,2048,256,386.3859176635742,9909.939646720886,9944.75531578064,9944.75531578064,25.832650226143674
