model,model_type,prompt_tokens,gen_tokens,TTFT_ms,p50_ms,p95_ms,p99_ms,TPOT_tokps
01-ai/Yi-34B,completion,128,64,45.267581939697266,1992.996096611023,2016.3745880126953,2016.3745880126953,32.112460471729946
01-ai/Yi-34B,completion,128,128,45.75228691101074,3972.466826438904,4017.848253250122,4017.848253250122,32.22179250948412
01-ai/Yi-34B,completion,128,256,46.204328536987305,7935.474276542664,7943.697929382324,7943.697929382324,32.26021377773321
01-ai/Yi-34B,completion,512,64,108.3066463470459,2078.2281160354614,2082.930088043213,2082.930088043213,30.795467386975886
01-ai/Yi-34B,completion,512,128,108.92844200134277,4076.6491889953613,4081.09450340271,4081.09450340271,31.398344829161047
01-ai/Yi-34B,completion,512,256,108.52575302124023,8079.98263835907,8085.857152938843,8085.857152938843,31.683241937653996
01-ai/Yi-34B,completion,1024,64,207.1704864501953,2194.075584411621,2197.275400161743,2197.275400161743,29.169463360913184
01-ai/Yi-34B,completion,1024,128,206.82430267333984,4213.047504425049,4220.260381698608,4220.260381698608,30.38183027849491
01-ai/Yi-34B,completion,1024,256,208.38475227355957,8266.448378562927,8277.272701263428,8277.272701263428,30.96859711897281
01-ai/Yi-34B,completion,2048,64,402.24194526672363,2428.8018941879272,2434.5149993896484,2434.5149993896484,26.3504427901475
01-ai/Yi-34B,completion,2048,128,398.9739418029785,4506.501793861389,4512.70055770874,4512.70055770874,28.403418710832987
01-ai/Yi-34B,completion,2048,256,401.7481803894043,8655.78830242157,8668.572425842285,8668.572425842285,29.575602035106293
