model_short,model,device_name,context_length,gen_tokens,total_tokens,baseline_alloc_mb,baseline_reserved_mb,after_tokenize_alloc_mb,after_tokenize_reserved_mb,after_generate_alloc_mb,after_generate_reserved_mb,peak_alloc_mb,peak_reserved_mb,tokenize_delta_alloc_mb,generate_delta_alloc_mb,total_delta_alloc_mb,kv_cache_alloc_mb,kv_cache_reserved_mb,memory_per_token_alloc_mb,memory_per_token_reserved_mb,util_after_percent_alloc,util_peak_percent_alloc,util_peak_percent_reserved,total_gpu_memory_mb,peak_memory_mb,memory_efficiency
gpt-oss-20b,openai/gpt-oss-20b,NVIDIA H100 NVL,128,64,192,39893.65478515625,40050.0,39893.65673828125,40050.0,39934.65673828125,40356.0,40118.57568359375,40356.0,0.001953125,41.0,41.001953125,224.9189453125,306.0,1.1714528401692708,1.59375,41.89546944707813,42.08841890961081,42.33750088517857,95319.75,40118.57568359375,0.004785812973876768
gpt-oss-20b,openai/gpt-oss-20b,NVIDIA H100 NVL,512,64,576,39925.65478515625,40082.0,39925.66259765625,40082.0,39952.66259765625,41190.0,40714.71337890625,41190.0,0.0078125,27.0,27.0078125,789.05078125,1108.0,1.3698798285590277,1.9236111111111112,41.91435940364536,42.71382728018721,43.2124507250596,95319.75,40714.71337890625,0.014147219818042928
gpt-oss-20b,openai/gpt-oss-20b,NVIDIA H100 NVL,1024,64,1088,39925.65478515625,40082.0,39925.67041015625,40082.0,39997.20166015625,42536.0,41569.27197265625,42536.0,0.015625,71.53125,71.546875,1643.6015625,2454.0,1.5106632008272058,2.255514705882353,41.96108535760559,43.6103451516147,44.624540034987504,95319.75,41569.27197265625,0.026173179090451065
gpt-oss-20b,openai/gpt-oss-20b,NVIDIA H100 NVL,2048,64,2112,39925.65478515625,40082.0,39925.68603515625,40082.0,40024.68603515625,45202.0,43479.88916015625,45202.0,0.03125,99.0,99.03125,3554.203125,5120.0,1.682861328125,2.4242424242424243,41.98991922991432,45.61477465074788,47.42144204112999,95319.75,43479.88916015625,0.048574180863721644
qwen3-32b,Qwen/Qwen3-32B,NVIDIA H100 NVL,128,64,192,62489.32275390625,62490.0,62489.32470703125,62490.0,62569.32470703125,62656.0,62608.03857421875,62656.0,0.001953125,80.0,80.001953125,118.7138671875,166.0,0.6183013916015625,0.8645833333333334,65.64151155141641,65.68212628990189,65.73244264698555,95319.75,62608.03857421875,0.0030666988516561407
qwen3-32b,Qwen/Qwen3-32B,NVIDIA H100 NVL,512,64,576,62521.32275390625,62522.0,62521.33056640625,62522.0,62669.37158203125,62984.0,62830.66748046875,62984.0,0.0078125,148.041015625,148.048828125,309.3369140625,462.0,0.5370432535807291,0.8020833333333334,65.74647078074717,65.9156863928711,66.07654761998431,95319.75,62830.66748046875,0.009167497706101127
qwen3-32b,Qwen/Qwen3-32B,NVIDIA H100 NVL,1024,64,1088,62521.32275390625,62522.0,62521.33837890625,62522.0,62796.21337890625,63352.0,63095.42724609375,63352.0,0.015625,274.875,274.890625,574.0888671875,830.0,0.5276552088120404,0.7628676470588235,65.87954057674958,66.19344600263193,66.4626166140805,95319.75,63095.42724609375,0.01724372189059641
qwen3-32b,Qwen/Qwen3-32B,NVIDIA H100 NVL,2048,64,2112,62521.32275390625,62522.0,62521.35400390625,62522.0,63051.35400390625,64152.0,63649.81787109375,64152.0,0.03125,530.0,530.03125,1128.4638671875,1630.0,0.5343105431758997,0.771780303030303,66.14720874100725,66.77505749972461,67.30189703602873,95319.75,63649.81787109375,0.03318155606159486
yi-34b,01-ai/Yi-34B,NVIDIA H100 NVL,128,64,192,65593.65478515625,65594.0,65593.65673828125,65594.0,65670.65673828125,65718.0,65686.83740234375,65718.0,0.001953125,77.0,77.001953125,93.1806640625,124.0,0.4853159586588542,0.6458333333333334,68.89512062115276,68.91209576435497,68.9447884619924,95319.75,65686.83740234375,0.002922960026587447
yi-34b,01-ai/Yi-34B,NVIDIA H100 NVL,512,64,576,65625.65478515625,65626.0,65625.66259765625,65626.0,65766.06689453125,65976.0,65849.86865234375,65976.0,0.0078125,140.404296875,140.412109375,224.2060546875,350.0,0.3892466227213542,0.6076388888888888,68.99521546639731,69.08313193471841,69.21545639807071,95319.75,65849.86865234375,0.008747170067126608
yi-34b,01-ai/Yi-34B,NVIDIA H100 NVL,1024,64,1088,65625.65478515625,65626.0,65625.67041015625,65626.0,65883.06494140625,66240.0,66042.17822265625,66240.0,0.015625,257.39453125,257.41015625,416.5078125,614.0,0.3828196806066176,0.5643382352941176,69.11795817908278,69.28488400636411,69.49241893731362,95319.75,66042.17822265625,0.016474320340130053
yi-34b,01-ai/Yi-34B,NVIDIA H100 NVL,2048,64,2112,65625.65478515625,65626.0,65625.68603515625,65626.0,66120.68603515625,66792.0,66458.70166015625,66792.0,0.03125,495.0,495.03125,833.015625,1166.0,0.3944202769886363,0.5520833333333334,69.36724659386564,69.72185896433452,70.0715224284579,95319.75,66458.70166015625,0.031779134217817556
