model_short,model,context_length,gen_tokens,ttft_ms,ttft_joules,decode_tokens_per_second,total_tokens_per_second,avg_gpu_power_watts,baseline_gpu_power_watts,avg_gpu_utilization_percent,avg_memory_utilization_percent,energy_per_decoded_token_joules,energy_per_1k_decoded_tokens_joules,energy_per_total_token_joules,tokens_per_watt,energy_per_1k_joules,TPOT_tokps
gpt-oss-20b,openai/gpt-oss-20b,128,64,61.02299690246582,6.451656347513199,39.78926923763098,119.36780771289294,265.499,102.46,65.5,47.7,6.672628200693429,6672.62820069343,2.224209400231143,0.1498659853243552,6672.62820069343,39.78926923763098
gpt-oss-20b,openai/gpt-oss-20b,512,64,188.9798641204834,50.87054472327232,38.18375830813785,343.6538247732406,279.447,278.98,70.2,48.8,7.318478127399087,7318.478127399087,0.8131642363776764,0.13664043023592254,7318.478127399087,38.18375830813785
gpt-oss-20b,openai/gpt-oss-20b,1024,64,203.55749130249023,54.569692268371575,36.20127266538904,615.4216353116136,288.742,283.1,74.5,50.6,7.976017933647335,7976.017933647335,0.4691775255086667,0.12537584648367414,7976.017933647335,36.20127266538904
gpt-oss-20b,openai/gpt-oss-20b,2048,64,459.7179889678955,143.6181983435154,31.270720348217548,1031.9337714911792,305.3349999999999,291.23,71.9,45.8,9.764245805658398,9764.245805658398,0.2958862365351029,0.10241446394359492,9764.245805658398,31.270720348217548
qwen3-32b,Qwen/Qwen3-32B,128,64,59.38720703125,6.5337805175781245,26.71536580915499,80.14609742746497,274.019,98.25,75.2,48.9,10.256981018245966,10256.981018245966,3.4189936727486554,0.0974945744972246,10256.981018245966,26.71536580915499
qwen3-32b,Qwen/Qwen3-32B,512,64,117.26975440979004,31.3884224653244,24.164036219230397,217.47632597307356,297.08900000000006,279.34,88.4,51.0,12.294676158595086,12294.676158595086,1.3660751287327877,0.08133601789103734,12294.676158595086,24.164036219230397
qwen3-32b,Qwen/Qwen3-32B,1024,64,194.66423988342285,57.08042173981667,25.409855968811268,431.96755146979154,304.929,293.17,89.3,53.2,12.000422213108092,12000.422213108091,0.7059071890063583,0.08333040140101883,12000.422213108091,25.409855968811268
qwen3-32b,Qwen/Qwen3-32B,2048,64,369.4641590118408,114.57822499275208,23.73247492297645,783.1716724582229,312.204,303.5,91.5,54.4,13.155138729241491,13155.138729241491,0.3986405675527724,0.07601592203487607,13155.138729241491,23.73247492297645
yi-34b,01-ai/Yi-34B,128,64,54.4283390045166,6.111486045122146,31.66241808578877,94.98725425736632,324.021,107.86,87.8,63.2,10.233615105519444,10233.615105519444,3.411205035173148,0.09771717908959224,10233.615105519444,31.66241808578877
yi-34b,01-ai/Yi-34B,512,64,110.2445125579834,36.85088199019432,30.548687105727605,274.93818395154847,350.11,339.2,96.7,66.0,11.460721660092473,11460.721660092471,1.2734135177880526,0.08725454030369771,11460.721660092471,30.548687105727605
yi-34b,01-ai/Yi-34B,1024,64,192.46292114257807,65.8357914352417,28.952566342665097,492.1936278253066,350.26800000000003,342.85,96.1,65.5,12.097994901537897,12097.994901537895,0.7116467589139939,0.08265832546126137,12097.994901537895,28.952566342665097
yi-34b,01-ai/Yi-34B,2048,64,368.3395385742188,127.65359218597412,26.30198097324581,867.965372117112,354.139,349.85,98.1,64.3,13.464347052802893,13464.34705280289,0.4080105167516027,0.07427021868036508,13464.34705280289,26.30198097324581
