model_short,model,model_type,prompt_tokens,gen_tokens,TTFT_ms,p50_ms,p95_ms,p99_ms,TPOT_tokps,context_length,ttft_ms
gpt-oss-20b,openai/gpt-oss-20b,chat_template,128,64,35.91156005859375,1611.0833883285522,1682.1308135986328,1682.1308135986328,39.72482152071758,128,35.91156005859375
gpt-oss-20b,openai/gpt-oss-20b,chat_template,128,128,36.06629371643066,3217.732071876526,3362.103223800659,3362.103223800659,39.77958397628029,128,36.06629371643066
gpt-oss-20b,openai/gpt-oss-20b,chat_template,128,256,36.71383857727051,6405.814051628113,6552.3717403411865,6552.3717403411865,39.96369734752648,128,36.71383857727051
gpt-oss-20b,openai/gpt-oss-20b,chat_template,512,64,101.22060775756836,1672.9501485824585,1820.207357406616,1820.207357406616,38.25577234760864,512,101.22060775756836
gpt-oss-20b,openai/gpt-oss-20b,chat_template,512,128,102.2963523864746,3280.979633331299,3284.247398376465,3284.247398376465,39.01274057640238,512,102.2963523864746
gpt-oss-20b,openai/gpt-oss-20b,chat_template,512,256,101.29332542419434,6479.182004928589,6599.464416503906,6599.464416503906,39.51127947319209,512,101.29332542419434
gpt-oss-20b,openai/gpt-oss-20b,chat_template,1024,64,203.2928466796875,1780.3122997283936,1906.9271087646484,1906.9271087646484,35.9487514389481,1024,203.2928466796875
gpt-oss-20b,openai/gpt-oss-20b,chat_template,1024,128,203.5517692565918,3381.40082359314,3384.864568710327,3384.864568710327,37.85413752530488,1024,203.5517692565918
gpt-oss-20b,openai/gpt-oss-20b,chat_template,1024,256,204.4374942779541,6569.51630115509,6742.747068405151,6742.747068405151,38.967865524349634,1024,204.4374942779541
gpt-oss-20b,openai/gpt-oss-20b,chat_template,2048,64,475.80862045288086,2056.731104850769,2060.7223510742188,2060.7223510742188,31.11733977893926,2048,475.80862045288086
gpt-oss-20b,openai/gpt-oss-20b,chat_template,2048,128,478.46388816833496,3663.3670330047607,3791.2652492523193,3791.2652492523193,34.94053521029289,2048,478.46388816833496
gpt-oss-20b,openai/gpt-oss-20b,chat_template,2048,256,478.15442085266113,6892.468690872192,7075.800895690918,7075.800895690918,37.14201196987047,2048,478.15442085266113
qwen3-32b,Qwen/Qwen3-32B,chat_template,128,64,46.08798027038574,2409.3202352523804,2454.4174671173096,2454.4174671173096,26.56351009823279,128,46.08798027038574
qwen3-32b,Qwen/Qwen3-32B,chat_template,128,128,46.602487564086914,4804.934501647949,4816.609859466553,4816.609859466553,26.63928096902448,128,46.602487564086914
qwen3-32b,Qwen/Qwen3-32B,chat_template,128,256,47.22356796264648,9616.640210151672,9627.477407455444,9627.477407455444,26.620523873417948,128,47.22356796264648
qwen3-32b,Qwen/Qwen3-32B,chat_template,512,64,111.59515380859376,2467.572569847107,2488.2819652557373,2488.2819652557373,25.9364207032488,512,111.59515380859376
qwen3-32b,Qwen/Qwen3-32B,chat_template,512,128,111.31834983825684,4885.371685028076,4891.045808792114,4891.045808792114,26.20066908593419,512,111.31834983825684
qwen3-32b,Qwen/Qwen3-32B,chat_template,512,256,111.2356185913086,9678.03990840912,9702.761888504028,9702.761888504028,26.45163774573612,512,111.2356185913086
qwen3-32b,Qwen/Qwen3-32B,chat_template,1024,64,193.1784152984619,2557.9659938812256,2571.781873703003,2571.781873703003,25.01987971031359,1024,193.1784152984619
qwen3-32b,Qwen/Qwen3-32B,chat_template,1024,128,192.66510009765625,4973.14465045929,4975.989818572998,4975.989818572998,25.738242062805195,1024,192.66510009765625
qwen3-32b,Qwen/Qwen3-32B,chat_template,1024,256,192.1529769897461,9777.609586715698,9794.309139251707,9794.309139251707,26.18226858692437,1024,192.1529769897461
qwen3-32b,Qwen/Qwen3-32B,chat_template,2048,64,389.15085792541504,2738.998532295227,2747.822046279907,2747.822046279907,23.36620480475005,2048,389.15085792541504
qwen3-32b,Qwen/Qwen3-32B,chat_template,2048,128,386.9080543518066,5129.273891448975,5139.938116073608,5139.938116073608,24.954799367585043,2048,386.9080543518066
qwen3-32b,Qwen/Qwen3-32B,chat_template,2048,256,386.3859176635742,9909.939646720886,9944.75531578064,9944.75531578064,25.832650226143677,2048,386.3859176635742
yi-34b,01-ai/Yi-34B,completion,128,64,45.26758193969727,1992.996096611023,2016.3745880126955,2016.3745880126955,32.112460471729946,128,45.26758193969727
yi-34b,01-ai/Yi-34B,completion,128,128,45.75228691101074,3972.466826438904,4017.848253250122,4017.848253250122,32.22179250948412,128,45.75228691101074
yi-34b,01-ai/Yi-34B,completion,128,256,46.204328536987305,7935.474276542664,7943.697929382324,7943.697929382324,32.26021377773321,128,46.204328536987305
yi-34b,01-ai/Yi-34B,completion,512,64,108.3066463470459,2078.2281160354614,2082.930088043213,2082.930088043213,30.795467386975886,512,108.3066463470459
yi-34b,01-ai/Yi-34B,completion,512,128,108.92844200134276,4076.649188995361,4081.09450340271,4081.09450340271,31.398344829161047,512,108.92844200134276
yi-34b,01-ai/Yi-34B,completion,512,256,108.52575302124023,8079.98263835907,8085.857152938843,8085.857152938843,31.683241937654,512,108.52575302124023
yi-34b,01-ai/Yi-34B,completion,1024,64,207.1704864501953,2194.075584411621,2197.275400161743,2197.275400161743,29.169463360913184,1024,207.1704864501953
yi-34b,01-ai/Yi-34B,completion,1024,128,206.82430267333984,4213.047504425049,4220.260381698608,4220.260381698608,30.38183027849491,1024,206.82430267333984
yi-34b,01-ai/Yi-34B,completion,1024,256,208.3847522735596,8266.448378562927,8277.272701263428,8277.272701263428,30.96859711897281,1024,208.3847522735596
yi-34b,01-ai/Yi-34B,completion,2048,64,402.2419452667236,2428.8018941879272,2434.5149993896484,2434.5149993896484,26.3504427901475,2048,402.2419452667236
yi-34b,01-ai/Yi-34B,completion,2048,128,398.9739418029785,4506.501793861389,4512.70055770874,4512.70055770874,28.403418710832987,2048,398.9739418029785
yi-34b,01-ai/Yi-34B,completion,2048,256,401.7481803894043,8655.78830242157,8668.572425842285,8668.572425842285,29.575602035106293,2048,401.7481803894043
